,state,fips,cases,deaths,employed-sugar-intake-daily
181,California,6,443096,8325,22.9
182,California,6,453327,8428,22.9
183,California,6,459338,8451,22.9
184,California,6,467103,8544,22.9
185,California,6,474951,8716,22.9
186,California,6,486039,8884,22.9
187,California,6,494269,9009,22.9
188,California,6,502273,9222,22.9
189,California,6,509507,9365,22.9
190,California,6,515937,9399,22.9
191,California,6,522235,9500,22.9
192,California,6,527258,9696,22.9
193,California,6,532776,9866,22.9
194,California,6,541013,10014,22.9
195,California,6,548142,10197,22.9
196,California,6,556158,10299,22.9
197,California,6,563244,10365,22.9
198,California,6,574267,10460,22.9
199,California,6,586078,10654,22.9
200,California,6,595097,10808,22.9
201,California,6,603212,10995,22.9
202,California,6,613243,11146,22.9
203,California,6,621981,11229,22.9
204,California,6,628508,11245,22.9
205,California,6,634991,11334,22.9
206,California,6,640499,11523,22.9
207,California,6,646742,11686,22.9
208,California,6,653401,11801,22.9
209,California,6,659991,11984,22.9
210,California,6,665325,12137,22.9
211,California,6,669944,12152,22.9
212,California,6,676236,12250,22.9
213,California,6,682320,12409,22.9
214,California,6,687612,12547,22.9
215,California,6,692964,12696,22.9
216,California,6,698391,12836,22.9
217,California,6,702500,12906,22.9
218,California,6,706589,12939,22.9
219,California,6,712543,13020,22.9
220,California,6,716630,13149,22.9
221,California,6,722037,13330,22.9
222,California,6,727403,13497,22.9
223,California,6,732693,13644,22.9
224,California,6,737074,13708,22.9
225,California,6,740233,13730,22.9
226,California,6,742689,13763,22.9
227,California,6,746114,13843,22.9
228,California,6,749197,13990,22.9
229,California,6,753019,14094,22.9
230,California,6,757126,14265,22.9
231,California,6,760582,14333,22.9
232,California,6,763390,14386,22.9
233,California,6,767063,14458,22.9
234,California,6,769918,14606,22.9
235,California,6,773319,14716,22.9
236,California,6,776945,14807,22.9
237,California,6,781437,14912,22.9
238,California,6,785077,15023,22.9
239,California,6,788078,15018,22.9
240,California,6,792220,15069,22.9
241,California,6,795080,15209,22.9
242,California,6,798351,15313,22.9
243,California,6,801674,15389,22.9
244,California,6,805736,15533,22.9
245,California,6,809215,15588,22.9
246,California,6,811699,15608,22.9
247,California,6,814797,15641,22.9
248,California,6,817940,15791,22.9
249,California,6,821126,15898,22.9
250,California,6,824307,15989,22.9
251,California,6,828365,16074,22.9
252,California,6,831495,16122,22.9
253,California,6,834636,16150,22.9
254,California,6,837722,16179,22.9
255,California,6,840324,16251,22.9
256,California,6,843734,16358,22.9
257,California,6,847385,16425,22.9
258,California,6,851229,16502,22.9
259,California,6,854303,16568,22.9
260,California,6,857077,16581,22.9
261,California,6,859960,16594,22.9
262,California,6,863614,16650,22.9
263,California,6,867094,16752,22.9
264,California,6,870380,16839,22.9
265,California,6,874102,16901,22.9
266,California,6,876258,16940,22.9
267,California,6,878395,16979,22.9
268,California,6,882666,16987,22.9
269,California,6,887094,17067,22.9
270,California,6,890154,17189,22.9
271,California,6,896427,17266,22.9
272,California,6,902328,17316,22.9
273,California,6,906645,17345,22.9
